X,Y,Z,FALL,A,DX,DY,DZ,DA
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.22,2.41,2.95,0,10.906832720822301,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,-0.08000000000000007,0.040000000000000036,0.029999999999999805,-0.0577544189572059
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.45,2.98,0,10.849078301865095,0.0,0.0,0.0,0.0
10.14,2.41,2.98,0,10.840115313039801,0.0,-0.040000000000000036,0.0,-0.008962988825294005
