X,Y,Z,FALL_HW,FALL_ML
10.37,-0.04,2.14,0,
10.37,-0.04,2.14,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.37,0.0,1.65,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.25,-0.04,2.14,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.29,0.08,1.95,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
10.22,-0.38,2.37,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
9.91,-0.04,1.76,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.37,0.0,2.14,0,
10.14,-0.5,2.56,0,
10.14,-0.5,2.56,0,
10.14,-0.5,2.56,0,
